Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2007*,22,MIN,RB,28,14,9,238,1341,12,63,73,5.6,95.8,17,28,19,268,14.1,1,14,60,1.4,19.1,67.90%,9.6,257,6.3,1609,13,4,12,AP ORoY-1 AP2 PB
2008*+,23,MIN,RB,28,16,15,363,1760,10,82,67,4.8,110,22.7,39,21,125,6,0,4,16,1.3,7.8,53.80%,3.2,384,4.9,1885,10,9,13,AP MVP-4 AP OPoY-2 AP1 PB
2009*+,24,MIN,RB,28,16,15,314,1383,18,76,64,4.4,86.4,19.6,57,43,436,10.1,0,16,63,2.7,27.3,75.40%,7.6,357,5.1,1819,18,7,16,AP1 PB
2010*,25,MIN,RB,28,15,15,283,1298,12,71,80,4.6,86.5,18.9,50,36,341,9.5,1,17,34,2.4,22.7,72.00%,6.8,319,5.1,1639,13,1,11,AP2 PB
2011,26,MIN,RB,28,12,12,208,970,12,48,54,4.7,80.8,17.3,24,18,139,7.7,1,5,22,1.5,11.6,75.00%,5.8,226,4.9,1109,13,1,8,
2012*+,27,MIN,RB,28,16,16,348,2097,12,88,82,6,131.1,21.8,51,40,217,5.4,1,11,20,2.5,13.6,78.40%,4.3,388,6,2314,13,4,19,AP MVP-1 AP OPoY-1 AP CPoY-2 AP1 PB
2013*,28,MIN,RB,28,14,14,279,1266,10,61,78,4.5,90.4,19.9,40,29,171,5.9,1,11,22,2.1,12.2,72.50%,4.3,308,4.7,1437,11,5,11,AP2 PB
2014,29,MIN,rb,28,1,1,21,75,0,4,17,3.6,75,21,3,2,18,9,0,1,9,2,18,66.70%,6,23,4,93,0,0,1,
2015*+,30,MIN,RB,28,16,16,327,1485,11,72,80,4.5,92.8,20.4,36,30,222,7.4,0,9,49,1.9,13.9,83.30%,6.2,357,4.8,1707,11,7,14,AP OPoY-7 AP CPoY-3 AP1 PB
2016,31,MIN,rb,28,3,3,37,72,0,3,13,1.9,24,12.3,6,3,8,2.7,0,0,7,1,2.7,50.00%,1.3,40,2,80,0,1,1,
2017,32,2TM,,,10,7,156,529,2,,27,3.4,52.9,15.6,19,11,70,6.4,0,,13,1.1,7,57.90%,3.7,167,3.6,599,2,3,4,
,,ARI,RB,23,6,6,129,448,2,16,27,3.5,74.7,21.5,16,9,66,7.3,0,3,13,1.5,11,56.30%,4.1,138,3.7,514,2,3,3,
,,NOR,rb,28,4,1,27,81,0,5,11,3,20.3,6.8,3,2,4,2,0,0,3,0.5,1,66.70%,1.3,29,2.9,85,0,0,1,
2018,33,WAS,RB,26,16,16,251,1042,7,47,90,4.2,65.1,15.7,26,20,208,10.4,1,9,52,1.3,13,76.90%,8,271,4.6,1250,8,3,7,AP CPoY-3
2019,34,WAS,RB,26,15,15,211,898,5,41,32,4.3,59.9,14.1,23,17,142,8.4,0,7,22,1.1,9.5,73.90%,6.2,228,4.6,1040,5,3,6,
2020,35,DET,RB,28,16,10,156,604,7,34,38,3.9,37.8,9.8,18,12,101,8.4,0,4,23,0.8,6.3,66.70%,5.6,168,4.2,705,7,0,5,
2021,36,2TM,,,4,3,38,98,2,6,16,2.6,24.5,9.5,4,4,8,2,0,0,5,1,2,100.00%,2,42,2.5,106,2,1,1,
,,TEN,rb,8,3,2,27,82,1,4,16,3,27.3,9,4,4,8,2,0,0,5,1.3,2.7,100.00%,2,31,2.9,90,1,0,1,
,,SEA,rb,21,1,1,11,16,1,2,7,1.5,16,11,,,,,,,,,,,,11,1.5,16,1,1,0,
Career,,,,,184,167,3230,14918,120,723,90,4.6,81.1,17.6,424,305,2474,8.1,6,111,63,1.7,13.4,71.90%,5.8,3535,4.9,17392,126,49,129,
10 yrs,,MIN,,,123,116,2418,11747,97,568,82,4.9,95.5,19.7,334,241,1945,8.1,5,88,63,2,15.8,72.20%,5.8,2659,5.1,13692,102,39,106,
2 yrs,,WAS,,,31,31,462,1940,12,88,90,4.2,62.6,14.9,49,37,350,9.5,1,16,52,1.2,11.3,75.50%,7.1,499,4.6,2290,13,6,13,
1 yr,,ARI,,,6,6,129,448,2,16,27,3.5,74.7,21.5,16,9,66,7.3,0,3,13,1.5,11,56.30%,4.1,138,3.7,514,2,3,3,
1 yr,,DET,,,16,10,156,604,7,34,38,3.9,37.8,9.8,18,12,101,8.4,0,4,23,0.8,6.3,66.70%,5.6,168,4.2,705,7,0,5,
1 yr,,NOR,,,4,1,27,81,0,5,11,3,20.3,6.8,3,2,4,2,0,0,3,0.5,1,66.70%,1.3,29,2.9,85,0,0,1,
1 yr,,SEA,,,1,1,11,16,1,2,7,1.5,16,11,,,,,,,,,,,,11,1.5,16,1,1,0,
1 yr,,TEN,,,3,2,27,82,1,4,16,3,27.3,9,4,4,8,2,0,0,5,1.3,2.7,100.00%,2,31,2.9,90,1,0,1,