Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1978*,22,GNB,WR,80,16,16,,46,818,17.8,6,58,2.9,51.1,,,3,13,0,15,4.3,0.8,0.2,49,17,831,6,2,8,PB
1979,23,GNB,WR,80,16,16,,54,968,17.9,4,52,3.4,60.5,,,1,-1,0,-1,-1,-0.1,0.1,55,17.6,967,4,5,9,
1980*,24,GNB,WR,80,16,16,,71,1226,17.3,4,47,4.4,76.6,,,,,,,,,,71,17.3,1226,4,0,9,AP2 PB
1981*+,25,GNB,WR,80,16,16,,71,1294,18.2,8,75,4.4,80.9,,,,,,,,,,71,18.2,1294,8,0,12,AP1 PB
1982*,26,GNB,WR,80,9,9,,35,696,19.9,4,80,3.9,77.3,,,4,101,1,83,25.3,11.2,0.4,39,20.4,797,5,0,15,AP2 PB
1983*,27,GNB,WR,80,16,16,,58,1300,22.4,8,74,3.6,81.3,,,9,36,0,13,4,2.3,0.6,67,19.9,1336,8,0,12,AP2 PB
1984*,28,GNB,WR,80,16,16,,62,1361,22,7,79,3.9,85.1,,,10,82,0,26,8.2,5.1,0.6,72,20,1443,7,1,14,PB
1985*,29,GNB,WR,80,16,16,,69,1153,16.7,4,56,4.3,72.1,,,4,14,0,21,3.5,0.9,0.3,73,16,1167,4,3,10,PB
1986,30,GNB,WR,80,15,15,,64,840,13.1,4,36,4.3,56,,,,,,,,,,64,13.1,840,4,3,6,
1987,31,RAI,WR,80,12,12,,41,880,21.5,5,49,3.4,73.3,,,1,1,0,1,1,0.1,0.1,42,21,881,5,0,8,
1988,32,RAI,WR,80,16,16,,28,549,19.6,0,57,1.8,34.3,,,,,,,,,,28,19.6,549,0,0,5,
1989,33,BUF,wr,86,12,2,,8,166,20.8,3,47,0.7,13.8,,,,,,,,,,8,20.8,166,3,0,2,
1990,34,BUF,WR,80,16,14,,35,712,20.3,4,71,2.2,44.5,,,,,,,,,,35,20.3,712,4,0,9,
1991*,35,BUF,WR,80,15,15,,57,1072,18.8,8,77,3.8,71.5,,,,,,,,,,57,18.8,1072,8,2,13,PB
1992,36,BUF,WR,80,16,15,110,51,786,15.4,6,50,3.2,49.1,46.40%,7.1,,,,,,,,51,15.4,786,6,0,9,
1993,37,2TM,,,10,2,33,14,183,13.1,0,32,1.4,18.3,42.40%,5.5,,,,,,,,14,13.1,183,0,0,1,
,,PHI,wr,80,9,2,29,13,167,12.8,0,32,1.4,18.6,44.80%,5.8,,,,,,,,13,12.8,167,0,0,1,
,,RAM,wr,22,1,0,4,1,16,16,0,16,1,16,25.00%,4,,,,,,,,1,16,16,0,0,0,
Career,,,,,233,212,143,764,14004,18.3,75,80,3.3,60.1,45.50%,6.8,32,246,1,83,7.7,1.1,0.1,796,17.9,14250,76,16,142,
9 yrs,,GNB,,,136,136,,530,9656,18.2,49,80,3.9,71,0%,,31,245,1,83,7.9,1.8,0.2,561,17.6,9901,50,14,95,
4 yrs,,BUF,,,59,46,110,151,2736,18.1,21,77,2.6,46.4,46.40%,7.1,,,,,,,,151,18.1,2736,21,2,33,
2 yrs,,RAI,,,28,28,,69,1429,20.7,5,57,2.5,51,0%,,1,1,0,1,1,0,0,70,20.4,1430,5,0,13,
1 yr,,PHI,,,9,2,29,13,167,12.8,0,32,1.4,18.6,44.80%,5.8,,,,,,,,13,12.8,167,0,0,1,
1 yr,,RAM,,,1,0,4,1,16,16,0,16,1,16,25.00%,4,,,,,,,,1,16,16,0,0,0,