Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1990*,23,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,11,AP ORoY-4 PB
1991*,24,MIA,LT,78,14,14,,,,,,,,,,,0,,,,,,,11,PB
1992*+,25,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
1993*,26,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,15,AP2 PB
1994*+,27,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
1995*,28,MIA,LT,78,16,16,,,,,,0,0,1,0,0,0,,,,,,,15,AP2 PB
1996*,29,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,11,PB
1997,30,MIA,LT,78,16,16,,,,,,,,,,,0,,,,,,,10,
1998,31,MIA,LT,78,9,9,,,,,,,,,,,0,,,,,,,4,
1999,32,MIA,LT,78,15,14,,,,,,,,,,,0,,,,,,,7,
2000,33,MIA,LT,78,14,14,,,,,,,,,,,0,,,,,,,7,
2001,34,CIN,LT,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,5,
2002,35,CIN,t,73,4,4,,,,,,0,0,2,0,0,0,,,,,,,2,
Career,,,,,184,183,,,,,,0,0,4,0,0,0,,,,,,,130,
11 yrs,,MIA,,,164,163,,,,,,0,0,1,0,0,0,,,,,,,123,
2 yrs,,CIN,,,20,20,,,,,,0,0,3,0,0,0,,,,,,,7,