Rank,Player,School,wAV,Years,Tm
1,Tom Brady,Michigan,184,2000-2022,2TM
2,Peyton Manning,Tennessee,176,1998-2015,2TM
3,Drew Brees,Purdue,167,2001-2020,2TM
4,Reggie White,Tennessee,160,1985-2000,3TM
,Jerry Rice,Miss. Valley St.,160,1985-2004,3TM
,Ray Lewis,Miami (FL),160,1996-2012,rav
7,Aaron Rodgers,California,159,2005-2022,gnb
8,Brett Favre,Southern Miss,158,1991-2010,4TM
9,Bruce Smith,Virginia Tech,152,1985-2003,2TM
10,Philip Rivers,North Carolina St.,149,2004-2020,2TM
11,Fran Tarkenton,Georgia,148,1961-1978,2TM
12,Lawrence Taylor,North Carolina,146,1981-1993,nyg
13,Dan Marino,Pittsburgh,145,1983-1999,mia
14,Matt Ryan,Boston Col.,144,2008-2022,2TM
,Alan Page,Notre Dame,144,1967-1981,2TM
16,Rod Woodson,Purdue,142,1987-2003,4TM
,Derrick Brooks,Florida St.,142,1995-2008,tam
18,John Elway,Stanford,140,1983-1998,den
19,Bruce Matthews,USC,138,1983-2001,oti
,Anthony Munoz,USC,138,1980-1992,cin
21,Junior Seau,USC,133,1990-2009,3TM
22,Marshall Faulk,San Diego St.,132,1994-2005,2TM
,Steve Young,BYU,132,1985-1999,2TM
,Carl Eller,Minnesota,132,1964-1979,2TM
25,Ben Roethlisberger,Miami (OH),131,2004-2021,pit
26,Julius Peppers,North Carolina,130,2002-2018,3TM
27,Randall McDaniel,Arizona St.,129,1988-2001,2TM
,Emmitt Smith+,Florida,129,1990-2004,2TM
,LaDainian Tomlinson,TCU,129,2001-2011,2TM
30,Deion Sanders,Florida St.,127,1989-2005,5TM
,Walter Payton,Jackson St.,127,1975-1987,chi
32,Russell Wilson,Wisconsin,125,2012-2022,2TM
,Joe Montana,Notre Dame,125,1979-1994,2TM
34,Randy Moss,Marshall,124,1998-2012,5TM
,Mike Singletary,Baylor,124,1981-1992,chi
36,Dan Fouts,Oregon,123,1973-1987,sdg
,Marvin Harrison,Syracuse,123,1996-2008,clt
,Ronnie Lott,USC,123,1981-1994,3TM
39,Michael Strahan,Texas Southern,122,1993-2007,nyg
40,Terrell Owens,Chattanooga,121,1996-2010,5TM
,Eli Manning,Mississippi,121,2004-2019,nyg
42,Ken Anderson,Augustana (IL),120,1971-1986,cin
,Barry Sanders,Oklahoma St.,120,1989-1998,det
44,Brian Urlacher,New Mexico,119,2000-2012,chi
,Paul Krause,Iowa,119,1964-1979,2TM
46,Jeff Saturday,North Carolina,118,1999-2012,2TM
,Jason Taylor,Akron,118,1997-2011,3TM
48,Champ Bailey,Georgia,117,1999-2013,2TM
,Warren Sapp,Miami (FL),117,1995-2007,2TM
50,Merlin Olsen,Utah St.,116,1962-1976,ram
,Warren Moon,Washington,116,1984-2000,2TM
,Randy White,Maryland,116,1975-1988,dal
,Reggie Wayne,Miami (FL),116,2001-2014,clt
54,Charles Woodson,Michigan,115,1998-2015,2TM
,Zach Thomas,Texas Tech,115,1996-2008,2TM
,Cam Newton,Auburn,115,2011-2021,2TM
57,Mike Webster,Wisconsin,114,1974-1990,2TM
,Chris Doleman,Pittsburgh,114,1985-1999,3TM
,Jahri Evans,Bloomsburg,114,2006-2017,2TM
60,Johnny Unitas,Louisville,113,1956-1973,2TM
,Jack Ham,Penn St.,113,1971-1982,pit
,Will Shields,Nebraska,113,1993-2006,kan
,Edgerrin James,Miami (FL),113,1999-2009,3TM
,Matthew Stafford,Georgia,113,2009-2022,2TM
65,Ted Hendricks,Miami (FL),112,1969-1983,3TM
,Rickey Jackson,Pittsburgh,112,1981-1995,2TM
,John Hannah,Alabama,112,1973-1985,nwe
,Jim Otto,Miami (FL),112,1960-1974,rai
,Jack Youngblood,Florida,112,1971-1984,ram
,Bob Lilly,TCU,112,1961-1974,dal
71,Willie Roaf,Louisiana Tech,111,1993-2005,2TM
,Jack Lambert,Kent St.,111,1974-1984,pit
73,Aaron Donald,Pittsburgh,110,2014-2022,ram
,Thurman Thomas,Oklahoma St.,110,1988-2000,2TM
,Terrell Suggs,Arizona St.,110,2003-2019,3TM
,Aeneas Williams,Southern,110,1991-2004,2TM
,Bobby Wagner,Utah St.,110,2012-2022,2TM
,Randall Cunningham,UNLV,110,1985-2001,4TM
79,Joe Greene,North Texas,109,1969-1981,pit
,Len Dawson,Purdue,109,1957-1975,3TM
,Willie Brown,Grambling St.,109,1963-1978,2TM
,Ronde Barber,Virginia,109,1997-2012,tam
,Mike Haynes,Arizona St.,109,1976-1989,2TM
84,Paul Warfield,Ohio St.,108,1964-1977,2TM
,Kevin Mawae,LSU,108,1994-2009,3TM
,Gene Upshaw,Texas A&M-Kingsville,108,1967-1981,rai
,Jim Brown,Syracuse,108,1957-1965,cle
,John Randle,Texas A&M-Kingsville,108,1990-2003,2TM
,Alan Faneca,LSU,108,1998-2010,3TM
90,Terry Bradshaw,Louisiana Tech,107,1970-1983,pit
,Jim Tyrer,Ohio St.,107,1961-1974,2TM
,J.J. Watt,Central Michigan,107,2011-2022,2TM
,Tony Dorsett,Pittsburgh,107,1977-1988,2TM
,Donovan McNabb,Syracuse,107,1999-2011,3TM
,Carson Palmer,USC,107,2004-2017,3TM
96,Boomer Esiason,Maryland,106,1984-1997,3TM
,John Hadl,Kansas,106,1962-1977,4TM
,Herb Adderley,Michigan St.,106,1961-1972,2TM
99,Tim Brown,Notre Dame,105,1988-2004,2TM
,Sonny Jurgensen,Duke,105,1957-1974,2TM
,Drew Bledsoe,Washington St.,105,1993-2006,3TM
102,Bobby Bell,Minnesota,104,1963-1974,kan
,Nick Buoniconti,Notre Dame,104,1962-1976,2TM
,Larry Little,Bethune-Cookman,104,1967-1980,2TM
,Michael Irvin,Miami (FL),104,1988-1999,dal
,Derrick Thomas,Alabama,104,1989-1999,kan
,Roger Staubach,Navy,104,1969-1979,dal
,Ron Yary,USC,104,1968-1982,2TM
,Brian Dawkins,Clemson,104,1996-2011,2TM
,Rod Smith,Missouri Southern St.,104,1995-2006,den
,Marcus Allen,USC,104,1982-1997,2TM
,Bob Griese,Purdue,104,1967-1980,mia
,Orlando Pace,Ohio St.,104,1997-2009,2TM
114,Franco Harris,Penn St.,103,1972-1984,2TM
,Jimmy Johnson,Arkansas,103,1961-1976,sfo
,Deacon Jones,South Carolina St.,103,1961-1974,3TM
,Gary Zimmerman,Oregon,103,1986-1997,2TM
,Jim Kelly,Miami (FL),103,1986-1996,buf
,Darrell Green,Texas A&M-Kingsville,103,1983-2002,was
,Calais Campbell,Miami (FL),103,2008-2022,3TM
,Steve Largent,Tulsa,103,1976-1989,sea
,Mick Tingelhoff,Nebraska,103,1962-1978,min
,Willie Davis,Grambling St.,103,1958-1969,2TM
,Isiah Robertson,Southern,103,1971-1982,2TM
,Tiki Barber,Virginia,103,1997-2006,nyg
126,Steve Smith Sr.,Utah,102,2001-2016,2TM
,James Lofton,Stanford,102,1978-1993,5TM
,Curtis Martin,Pittsburgh,102,1995-2005,2TM
,Logan Mankins,Fresno St.,102,2005-2015,2TM
,Jim Marshall,Ohio St.,102,1960-1979,2TM
,Dan Hampton,Arkansas,102,1979-1990,chi
,Steve Wisniewski,Penn St.,102,1989-2001,rai
,Tom Nalen,Boston Col.,102,1994-2007,den
,Ed Reed,Miami (FL),102,2002-2013,3TM
,Kevin Williams,Oklahoma St.,102,2003-2015,3TM
,Richmond Webb,Texas A&M,102,1990-2002,2TM
,Sam Mills,Montclair St.,102,1986-1997,2TM
138,Larry Allen,Sonoma St.,101,1994-2007,2TM
,Don Maynard,Texas-El Paso,101,1958-1973,3TM
,Justin Smith,Missouri,101,2001-2014,2TM
,Adrian Peterson,Oklahoma,101,2007-2021,7TM
,Isaac Bruce,Memphis,101,1994-2009,2TM
,Jared Allen,Idaho St.,101,2004-2015,4TM
144,DeMarcus Ware,Troy,100,2005-2016,2TM
,Steve McMichael,Texas,100,1980-1994,3TM
,Von Miller,Texas A&M,100,2011-2022,3TM
,Lem Barney,Jackson St.,100,1967-1977,det
,Haloti Ngata,Oregon,100,2006-2018,3TM
,Andrew Whitworth,LSU,100,2006-2021,2TM
,Ndamukong Suh,Nebraska,100,2010-2021,4TM
,Chris Hanburger,North Carolina,100,1965-1978,was
,Ricky Watters,Notre Dame,100,1992-2001,3TM
,Mel Renfro,Oregon,100,1964-1977,dal
154,Torry Holt,North Carolina St.,99,1999-2009,2TM
,Julio Jones,Alabama,99,2011-2022,3TM
,John Brodie,Stanford,99,1957-1973,sfo
,Wilber Marshall,Florida,99,1984-1995,5TM
,Steve McNair,Alcorn St.,99,1995-2007,2TM
,Cris Carter,Ohio St.,99,1987-2002,3TM
160,Lance Alworth,Arkansas,98,1962-1972,2TM
,Pat Swilling,Georgia Tech,98,1986-1998,3TM
,O.J. Simpson,USC,98,1969-1979,2TM
,Lance Briggs,Arizona,98,2003-2014,chi
,Lomas Brown,Florida,98,1985-2002,5TM
,Patrick Peterson,LSU,98,2011-2022,2TM
,Alex Karras,Iowa,98,1958-1970,det
,Richard Dent,Tennessee St.,98,1983-1997,4TM
,Roman Gabriel,North Carolina St.,98,1962-1977,2TM
,Andre Reed,Pennsylvania,98,1985-2000,2TM
,Alex Smith,Utah,98,2005-2020,3TM
,Walter Jones,Florida St.,98,1997-2008,sea
172,Cortez Kennedy,Miami (FL),97,1990-2000,sea
,Mel Blount,Southern,97,1970-1983,pit
,Hardy Nickerson,California,97,1987-2002,4TM
,Richard Sherman,Stanford,97,2011-2021,3TM
,Ron McDole,Nebraska,97,1961-1978,4TM
,Cornell Green,Utah St.,97,1962-1974,dal
,Rich Gannon,Delaware,97,1987-2004,4TM
,Henry Ellard,Fresno St.,97,1983-1998,3TM
,Dave Krieg,Milton,97,1980-1998,6TM
,Jason Peters,Arkansas,97,2004-2022,4TM
,Vinny Testaverde,Miami (FL),97,1987-2007,7TM
,George Blanda,Kentucky,97,1949-1975,4TM
184,Mark Brunell,Washington,96,1994-2011,5TM
,Warrick Dunn,Florida St.,96,1997-2008,2TM
,Ken Riley,Florida A&M,96,1969-1983,cin
,Neil Smith,Nebraska,96,1988-2000,3TM
,Troy Polamalu,USC,96,2003-2014,pit
,Buck Buchanan,Grambling St.,96,1963-1975,kan
,Dermontti Dawson,Kentucky,96,1988-2000,pit
,Eric Allen,Arizona St.,96,1988-2001,3TM
,Mike Kenn,Michigan,96,1978-1994,atl
,Troy Aikman,UCLA,96,1989-2000,dal
,Kurt Warner,Northern Iowa,96,1998-2009,3TM
,Forrest Gregg,SMU,96,1956-1971,2TM
196,Harry Carson,South Carolina St.,95,1976-1988,nyg
,Tony Gonzalez,California,95,1997-2013,2TM
,Jonathan Ogden,UCLA,95,1996-2007,rav
,Willie Wood,USC,95,1960-1971,gnb
,Jim Hart,Southern Illinois,95,1966-1984,2TM
,Ken Houston,Prairie View A&M,95,1967-1980,2TM
,Roger Craig,Nebraska,95,1983-1993,3TM
,London Fletcher,John Carroll,95,1998-2013,3TM
,Ray Nitschke,Illinois,95,1958-1972,gnb
,Howie Long,Villanova,95,1981-1993,rai
,Charley Taylor,Arizona St.,95,1964-1977,was
,James Farrior,Virginia,95,1997-2011,2TM
,Lemar Parrish,Lincoln (MO),95,1970-1982,3TM
,Bobby Boyd,Oklahoma,95,1960-1968,clt
,Henry Jordan,Virginia,95,1957-1969,2TM
,Tony Romo,Eastern Illinois,95,2004-2016,dal
212,Chuck Howley,West Virginia,94,1958-1973,2TM
,Steve Hutchinson,Michigan,94,2001-2012,3TM
,Andre Johnson,Miami (FL),94,2003-2016,3TM
,Dick Schafrath,Ohio St.,94,1959-1971,cle
,Frank Gore,Miami (FL),94,2005-2020,5TM
,Clay Matthews,USC,94,1978-1996,2TM
,Too Tall Jones,Tennessee St.,94,1974-1989,dal
,Johnny Robinson,LSU,94,1960-1971,kan
,Trent Green,Indiana,94,1997-2008,4TM
,Jimmy Smith,Jackson St.,94,1992-2005,2TM
,Joe Namath,Alabama,94,1965-1977,2TM
223,Darrelle Revis,Pittsburgh,93,2007-2017,4TM
,Larry Fitzgerald,Pittsburgh,93,2004-2020,crd
,Mike Munchak,Penn St.,93,1982-1993,oti
,Karl Mecklenburg,Minnesota,93,1983-1994,den
,Antonio Gates,Kent St.,93,2003-2018,sdg
,Patrick Willis,Mississippi,93,2007-2014,sfo
,Willie Anderson,Auburn,93,1996-2008,2TM
,Harold Jackson,Jackson St.,93,1968-1983,5TM
,Art Shell,Md-Eastern Shore,93,1968-1982,rai
,Wayne Walker,Idaho St.,93,1958-1972,det
,Ken Stabler,Alabama,93,1970-1984,3TM
,Joe Flacco,Delaware,93,2008-2022,3TM
,Kevin Greene,Auburn,93,1985-1999,4TM
236,Cameron Jordan,California,92,2011-2022,nor
,Marshal Yanda,Iowa,92,2007-2019,rav
,Larry Grantham,Mississippi,92,1960-1972,nyj
,Michael Vick,Virginia Tech,92,2001-2015,4TM
,Antonio Brown,Central Michigan,92,2010-2021,3TM
,Eric Dickerson,SMU,92,1983-1993,4TM
,Charlie Joiner,Grambling St.,92,1969-1986,3TM
243,Bart Starr,Alabama,91,1956-1971,gnb
,Larry Wilson,Utah,91,1960-1972,crd
,Steve Grogan,Kansas St.,91,1975-1990,nwe
,Tom Mack,Michigan,91,1966-1978,ram
,John Abraham,South Carolina,91,2000-2014,3TM
,Phil Simms,Morehead St.,91,1979-1993,nug
,Luke Kuechly,Boston Col.,91,2012-2019,car
,James Harrison,Kent St.,91,2002-2017,3TM
,Donnie Shell,South Carolina St.,91,1974-1987,pit
,Richard Seymour,Georgia,91,2001-2012,2TM
,Cornelius Bennett,Alabama,91,1987-2000,3TM
,Wes Welker,Texas Tech,91,2004-2015,5TM
,Roger Wehrli,Missouri,91,1969-1982,crd