Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1963,23,DEN,lcb,24,8,6,1,0,0,0,,,,,,,0,,2,
1964*+,24,DEN,LCB,24,14,14,9,140,0,45,,,,,,,0,1,10,AP1 PB
1965*,25,DEN,LCB,24,14,11,2,18,0,18,,,,,,,1,,7,PB
1966,26,DEN,LCB,24,14,14,3,37,0,31,,,,,,,0,,6,
1967*,27,OAK,RCB,24,14,12,7,33,1,25,,,0,2,0,0,0,,13,AP2 PB
1968*+,28,OAK,RCB,24,14,14,2,27,1,27,,,,,,,0,,14,AP1 PB
1969*+,29,OAK,RCB,24,14,14,5,111,0,30,,,,,,,0,,14,AP1 PB
1970*,30,OAK,rcb,24,8,7,3,0,0,0,,,,,,,0,,7,PB
1971*+,31,OAK,RCB,24,14,14,2,2,0,2,,,,,,,0,,13,AP1 PB
1972*,32,OAK,RCB,24,14,14,4,26,0,13,,,0,2,0,0,1,,13,AP2 PB
1973*+,33,OAK,RCB,24,14,14,3,-1,0,-1,,,,,,,0,,20,AP1 PB
1974,34,OAK,RCB,24,9,9,1,31,0,31,,,,,,,0,,4,
1975,35,OAK,RCB,24,12,12,4,-1,0,0,,,,,,,0,,7,
1976,36,OAK,RCB,24,14,14,3,25,0,22,,,,,,,0,,7,
1977,37,OAK,RCB,24,14,14,4,24,0,18,,,,,,,0,,8,
1978,38,OAK,db,24,13,2,1,0,0,0,,,,,,,0,,2,
Career,,,,,204,185,54,472,2,45,,,0,4,0,0,2,1,147,
12 yrs,,OAK,,,154,140,39,277,2,31,,,0,4,0,0,1,,122,
4 yrs,,DEN,,,50,45,15,195,0,45,,,,,,,1,1,25,